slang|good|enkelt|konkret vardagsföremål, barn kan gissa
vitlök|good|enkelt|vardaglig matvara alla känner
nyår|good|enkelt|högtid alla barn känner
blogg|good|mellan|vanligt men lite abstrakt
tävlande|good|mellan|beskrivbar roll, fungerar som substantiv
uppdatering|good|mellan|vardagligt IT-begrepp, beskrivbart
rytm|good|mellan|musikbegrepp, förväxlingsrisk med takt
yoghurt|good|enkelt|vardaglig frukostmat
melodi|good|enkelt|barn gissar via nynna-ledtråd
förkläde|good|enkelt|konkret köksplagg
försiktighet|good|mellan|abstrakt men vardaglig egenskap
tomte|good|enkelt|julfigur alla barn känner
cocktail|good|mellan|känd blanddrink, vuxenord
tumme|good|enkelt|kroppsdel alla känner
grymhet|good|mellan|abstrakt egenskap, beskrivbar
bikini|good|enkelt|konkret vardagsplagg
lunga|good|enkelt|välkänd kroppsdel
ironi|good|mellan|abstrakt men allmänt känt
krydda|good|enkelt|vardagligt köksord
tolk|good|mellan|känt yrke, beskrivbart
bläckfisk|good|enkelt|djur barn känner
klassrum|good|enkelt|vardaglig skolmiljö
kaviar|good|enkelt|vardaglig frukostmat i Sverige
skjul|good|mellan|konkret men mindre vardagligt
fysiker|good|mellan|känt yrke, beskrivbart
jojo|good|enkelt|klassisk leksak
fasa|good|mellan|abstrakt känsla, viss synonymrisk
bänk|good|enkelt|konkret vardagsmöbel
trolldom|good|mellan|sagobegrepp, magi-synonymrisk
påsk|good|enkelt|högtid alla känner
fiol|good|enkelt|välkänt instrument
russin|good|enkelt|vardagligt barnsnacks
diplomat|good|mellan|känt yrke, beskrivbart
server|good|mellan|vardagligt IT-ord
buske|good|enkelt|konkret naturord
handske|good|enkelt|vardagsplagg
uggla|good|enkelt|djur barn känner
rabbi|bad|cut|fel form, rabbin är standardsvenska
anteckningsbok|good|enkelt|konkret vardagsföremål
krita|good|enkelt|skolföremål barn känner
käke|good|enkelt|välkänd kroppsdel
strumpa|good|enkelt|vardagsplagg
algoritm|good|mellan|välkänt numera, beskrivbart
kamel|good|enkelt|djur barn känner
bowling|good|enkelt|välkänd aktivitet
försoning|good|mellan|abstrakt men beskrivbart
varumärke|good|mellan|vardagligt begrepp
teleskop|good|enkelt|konkret, barn känner stjärnkikaren
misstro|good|mellan|abstrakt känsla, beskrivbar
skaldjur|good|mellan|samlingsbegrepp, lätt beskrivbart
beundran|good|mellan|abstrakt känsla, beskrivbar
gelé|good|enkelt|vardagligt godis och mat
fräckhet|good|mellan|abstrakt egenskap
husbil|good|enkelt|konkret fordon barn känner
trumpet|good|enkelt|välkänt instrument
halsduk|good|enkelt|vardagsplagg
broccoli|good|enkelt|vardaglig grönsak
instruktör|good|mellan|känt yrke, beskrivbart
paprika|good|enkelt|vardaglig grönsak
solnedgång|good|enkelt|konkret vardagsfenomen
orkester|good|enkelt|välkänt musikbegrepp
kval|good|mellan|dubbeltydigt men båda gissbara
bakdörr|good|enkelt|konkret vardagsord
kanel|good|enkelt|vardagskrydda, kanelbullen
bagare|good|enkelt|yrke barn känner
flöjt|good|enkelt|välkänt instrument
feghet|good|mellan|abstrakt egenskap
trumma|good|enkelt|instrument barn känner
drivkraft|good|mellan|vanligt abstrakt begrepp
balkong|good|enkelt|konkret vardagsord
dop|good|mellan|känd ceremoni, beskrivbar
återhämtning|good|mellan|vardagligt abstrakt begrepp
djärvhet|good|mellan|abstrakt egenskap
bibliotekarie|good|enkelt|yrke barn känner
cider|good|enkelt|vardaglig dryck, finns alkoholfri
kemist|good|mellan|känt yrke
programmerare|good|mellan|känt yrke, beskrivbart
brottning|good|enkelt|sport barn känner
